Total Contract Value (TCV),Account Name,Opportunity Name,Opportunity Stage,Fiscal Period,Opportunity Closure Date,Lead Source,Opportunity Type,Opportunity Owner,Secondary Practice Area,Gross Profit Margin (GPM %),Ascendion Office,Start Date,End Date,Last Modified Date,Commit Status,Probability (%),Created Date,Opportunity Creation Date as per User,Procurement Process,Execution Approach,Account Manager,Super Merge Client Name,Opportunity ID,ID(18 Characters),Previous Opportunity Stage,Opportunity Last Stage change Date,AVA Offering_Tracking,AVA Offering Multi Select Drop down (Val,AVA Platform Considered (Yes/No)?,Proactive?,Alliance Partner,Industry BU Group,Practice,Amount
6000000,Microsoft Corporation,Microsoft: XBOX Casual Games Managed Service,Investigation & Analysis,Q4-2023,11/30/23,Client Referral,New Business,Adrienne Soto,,30,"Seattle, WA",1/1/24,12/31/26,10/3/23,Low confidence,10,10/3/23,,RFI,Engineering projects,,Microsoft Corporation,0065c00001NgmGo,0065c00001NgmGoAAJ,Investigation & Analysis,10/2/23 17:00,,,,No,,HiTech,Web 3 & Gaming,
900000,"TruPlay Games, Inc.",Game Development,Qualification,Q4-2023,12/31/23,Geo,New Business,cierra devine,Experience Engineering,45,"Seattle, WA",10/5/23,9/30/24,10/19/23,Low confidence,20,6/2/22,6/1/22,N/A,Engineering projects,Cierra Devine,"TruPlay Games, Inc.",0063i00000HKame,0063i00000HKameAAD,Qualification,4/20/23 7:18,IAF;,IAF,Yes,Yes,,HiTech,Web 3 & Gaming,900000
500000,Meta Platforms Inc.,Meta - Merchandising Display Audit GenAI,Inquiry,Q1-2024,3/31/24,Cold call,New Business,Kash Upadhyay,,30,"Bay Area, CA",4/1/24,12/31/24,9/19/23,Low confidence,0,9/18/23,,RFP driven,Engineering projects,Jaeda LaRocca,"Facebook, Inc.",0065c00001NIYOP,0065c00001NIYOPAA5,Inquiry,9/17/23 17:00,,,,No,,HiTech,Generative AI,
50000,Atlassian Corporation Plc,Atlassian: Data Engineering: GenAI Opportunity,Qualification,Q1-2024,1/31/24,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",12/1/23,3/30/24,10/17/23,Low confidence,20,9/19/23,,Direct,Engineering projects,Megan Ogrady,Atlassian Corporation Plc,0065c00001NIlmJ,0065c00001NIlmJAAT,Qualification,9/18/23 17:00,,,,No,,HiTech,Generative AI,
100000,SymphonyAI,SymphonyAi GenAI Rewire,Qualification,Q4-2023,10/30/23,Employee Referral,New Business,Alok Gaur,,35,Direct - No Region,11/1/23,11/22/23,10/2/23,Low confidence,20,9/12/23,9/8/23,Direct,Rewire,No Geo AM Involved,,0065c00001NHC3w,0065c00001NHC3wAAH,Qualification,9/11/23 17:00,,,,No,,HiTech,Generative AI,
50000,Microsoft Corporation,Microsoft: XBOX Research - GenAI POC,Investigation & Analysis,Q4-2023,10/31/23,Cold call,New Business,Adrienne Soto,,30,"Seattle, WA",11/1/23,12/29/23,9/13/23,Low confidence,10,8/10/23,8/10/23,Proactive pitch,Engineering projects,Adrienne Soto,Microsoft Corporation,0065c00001MeLyN,0065c00001MeLyNAAV,Investigation & Analysis,8/9/23 17:00,,,,Yes,,HiTech,Generative AI,
250000,Lenovo Group Limited,Battery Optimization AI Project,Negotiation/Review,Q4-2023,11/30/23,Cold call,New Business,Ward Sewell,,35,"Raleigh, NC",10/11/23,4/30/24,10/2/23,High quality,80,7/12/23,7/11/23,Direct,Engineering projects,Ward Sewell,Lenovo Group Limited,0065c00001K8Ry0,0065c00001K8Ry0AAF,Negotiation/Review,7/30/23 17:00,,,,Yes,,HiTech,Generative AI,
200000,"Zendesk, Inc.",Zendesk - GenAI Implementation,Inquiry,Q1-2024,1/31/24,Cold call,New Business,Evan Fagundes,,,"Bay Area, CA",,,10/9/23,Low confidence,0,10/6/23,,Proactive pitch,Cognixia,Evan Fagundes,"Zendesk, Inc.",0065c00001NhWcW,0065c00001NhWcWAAV,Inquiry,10/5/23 17:00,,,,Yes,,HiTech,Generative AI,
1000000,Exelon,Exelon - Blanket SOW - Network Operations,Proposal Creation,Q4-2023,12/15/23,Client Referral,New Business,Callyn Birchmeier,,,"Chicago, IL",10/15/23,9/15/24,10/23/23,,30,9/29/23,,Direct,Engineering projects,callyn birchmeier,,0065c00001NfqKU,0065c00001NfqKUAAZ,Proposal Creation,9/28/23 17:00,,,,Yes,,Manufacturing,Enterprise Architecture,
1,Exelon,Exelon - Data Consolidation/Automation,Inquiry,Q1-2024,2/23/24,Cold call,New Business,Callyn Birchmeier,,,"Chicago, IL",,,10/23/23,Low confidence,20,6/8/23,6/7/23,Direct,Engineering projects,callyn birchmeier,,0065c00001H7zWk,0065c00001H7zWkAAJ,Inquiry,6/7/23 17:00,,,,No,,Manufacturing,Enterprise Architecture,
20000,Collins Aerospace,Collins Aerospace - Cognixia - GenAI,Qualification,Q3-2023,9/1/23,Employee Referral,New Business,Rachel Harrison,,,Direct - No Region,9/1/23,12/29/23,8/29/23,Low confidence,20,6/21/23,6/15/23,Proactive pitch,Cognixia,Garth Andrus,,0065c00001IYpUc,0065c00001IYpUcAAL,Qualification,6/28/23 17:00,,,,Yes,,Manufacturing,Enterprise Architecture,
2000000,Baker Hughes Company,BakerHughes: RFP: IT Professional Services Preferred Supplier List,Proposal Creation,Q4-2023,12/29/23,Client Referral,New Business,Karthik Rajaram,,35,"Houston, TX",11/1/23,11/29/24,10/17/23,,30,9/8/23,9/8/23,RFP driven,Engineering projects,Trenton Carrigan,Baker Hughes Company,0065c00001NGUDY,0065c00001NGUDYAA5,Proposal Creation,9/7/23 17:00,,,,No,,Manufacturing,Platform Engineering,
1,DTE Energy,Residential EV Platform,Inquiry,Q1-2024,3/29/24,Other,New Business,Joseph Hoevener,,,"Chicago, IL",,,10/19/23,Low confidence,0,10/19/23,,Proactive pitch,Engineering projects,Joseph Hoevener,,0065c00001O51Vv,0065c00001O51VvAAJ,,10/18/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
130000,SLB-Cognixia,SLB - Cognixia - JUMP,Inquiry,Q4-2023,10/27/23,Client Referral,New Business,Alok Gaur,,,Direct - No Region,,,8/10/23,Low confidence,0,6/16/23,6/16/23,Direct,JUMP,No Geo AM Involved,,0065c00001IWiJK,0065c00001IWiJKAA1,Inquiry,6/15/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
250000,Helmerich and Payne Inc,Enterprise Application Consilidation,Inquiry,Q4-2023,12/25/23,Geo,New Business,cassandra broderick,Product/Platform Modernization,,"Chicago, IL",4/5/23,8/23/23,8/14/23,Low confidence,0,2/1/23,1/13/23,Proactive pitch,Engineering projects,callyn birchmeier,,0065c000016e6uN,0065c000016e6uNAAQ,Inquiry,,,,,Yes,,Manufacturing,Platform Engineering,
250000,Helmerich and Payne Inc,Asset Hub Transformation,Inquiry,Q4-2023,12/25/23,Geo,New Business,cassandra broderick,Product/Platform Modernization,,"Chicago, IL",4/5/23,8/17/23,8/14/23,Low confidence,0,2/1/23,1/13/23,Proactive pitch,Engineering projects,callyn birchmeier,,0065c000016e6mO,0065c000016e6mOAAQ,Inquiry,,,,,Yes,,Manufacturing,Platform Engineering,
250000,Helmerich and Payne Inc,Oracle or Salesforce Implementation,Inquiry,Q4-2023,12/25/23,Geo,New Business,cassandra broderick,Integration,,"Chicago, IL",4/5/23,8/24/23,8/14/23,Low confidence,0,2/1/23,1/13/23,Proactive pitch,Engineering projects,callyn birchmeier,,0065c000016e6mP,0065c000016e6mPAAQ,Inquiry,,,,,Yes,,Manufacturing,Platform Engineering,
500000,Exelon,Tibco -->Boomie/Oracle Fusion,Inquiry,Q4-2023,12/29/23,Cold call,New Business,cassandra broderick,,,"Chicago, IL",,,10/17/23,Low confidence,0,10/17/23,,RFP driven,Engineering projects,callyn birchmeier,,0065c00001O4eJ6,0065c00001O4eJ6AAJ,,10/16/23 17:00,,,,No,,Manufacturing,Platform Engineering,
1,"Constellation Newenergy, Inc.",Open for business MSA,Inquiry,Q4-2023,12/31/23,Cold call,New Business,Callyn Birchmeier,,,"Chicago, IL",,,8/24/23,Low confidence,0,8/24/23,8/24/23,Direct,Engineering projects,callyn birchmeier,,0065c00001MnRDB,0065c00001MnRDBAA3,Inquiry,8/23/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
390000,McCormick-CGX,Full Stack/ Cybersecurity,Inquiry,Q3-2023,9/1/23,Campaign,New Business,Alok Gaur,,,Direct - No Region,,,6/22/23,,0,6/22/23,6/15/23,Direct,JUMP,Malek Sultani,,0065c00001IZ3TG,0065c00001IZ3TGAA1,,6/21/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
250000,GE,GE Vernova: DevOps Services Product,Investigation & Analysis,Q4-2023,10/31/23,Cold call,New Business,Gabrielle Ratcliffe,,,"Atlanta, GA",10/31/23,4/30/24,7/13/23,,10,7/13/23,7/12/23,Direct,Engineering projects,Gabrielle Ratcliffe,,0065c00001LMVNp,0065c00001LMVNpAAP,,7/12/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
1,CEVA FRANCE SASU,Warehouse Management System Migration to BlueYonder,Inquiry,Q1-2024,3/11/24,Cold call,New Business,Megan Campbell,,,"Bay Area, CA",,,9/20/23,Low confidence,0,9/20/23,,Proactive pitch,Engineering projects,Megan Campbell,CEVA FRANCE SASU,0065c00001NIx7G,0065c00001NIx7GAAT,Inquiry,9/19/23 17:00,,,,Yes,,Manufacturing,Platform Engineering,
389992,"Toyota Motor Sales, USA, Inc.",Nearshore POD - MDM Modernization,Proposal Creation,Q1-2024,2/23/24,Geo,New Business,lindsey alexander,,35,"Dallas, TX",3/8/24,12/27/24,10/23/23,Commit,30,4/7/23,4/7/23,Direct,DDS,Lindsey Alexander,"Toyota Motor Sales, USA, Inc.",0065c00001BFg5f,0065c00001BFg5fAAD,Proposal Creation,8/1/23 17:00,,,,Yes,,Manufacturing,AI & Data Engineering,
300000,Caterpillar Inc.,CAT Data Quality,Inquiry,Q4-2023,12/21/23,Client Referral,New Business,luke berliner,,,"Charlotte, NC",,,10/20/23,Low confidence,0,10/20/23,,Direct,Engineering projects,Sydney Kaufmann,Caterpillar Inc.,0065c00001O5LJW,0065c00001O5LJWAA3,,10/19/23 17:00,,,,No,,Manufacturing,AI & Data Engineering,
1000000,GE,IRO Data Tagging,Proposal Presentation,Q3-2023,9/30/23,Geo,New Business,Courtney Gams,,36,"Atlanta, GA",5/8/23,7/28/23,7/13/23,,50,3/24/23,3/24/23,Direct,Engineering projects,Gabrielle Ratcliffe,,0065c00001AMxfh,0065c00001AMxfhAAD,Proposal Presentation,6/26/23 17:00,,,,No,,Manufacturing,AI & Data Engineering,
500000,GE,GE Vernova: Quality Engineering,Investigation & Analysis,Q4-2023,10/31/23,Cold call,New Business,Gabrielle Ratcliffe,,,"Atlanta, GA",10/31/23,4/30/24,7/13/23,,10,7/13/23,7/11/23,Direct,Engineering projects,Gabrielle Ratcliffe,,0065c00001LMVF7,0065c00001LMVF7AAP,Investigation & Analysis,7/12/23 17:00,,,,Yes,,Manufacturing,Quality Engineering,
1,Exelon,Exelon - Reporting/Testing Framework,Investigation & Analysis,Q4-2023,12/22/23,Cold call,New Business,Callyn Birchmeier,,,"Chicago, IL",9/1/23,10/31/23,10/23/23,Low confidence,10,7/24/23,7/24/23,Direct,Engineering projects,callyn birchmeier,,0065c00001M3OUM,0065c00001M3OUMAA3,Investigation & Analysis,7/23/23 17:00,,,,No,,Manufacturing,Enterprise Solutions,
200000,Baker Hughes Company,Cyber Risk Analyst,Negotiation/Review,Q4-2023,10/16/23,Cold call,New Business,trenton carrigan,,,"Houston, TX",10/16/23,3/30/24,10/16/23,,80,10/16/23,,Direct,Engineering projects,Trenton Carrigan,Baker Hughes Company,0065c00001O4Oq5,0065c00001O4Oq5AAF,,10/15/23 17:00,,,,Yes,,Manufacturing,Platform Operations,
700000,The Boeing Company,BCA Customer Support Ops - Rapid Dispatch,Investigation & Analysis,Q1-2024,1/30/24,Geo,New Business,kayla luu,,,"SoCal, CA",5/1/23,1/22/24,10/9/23,Low confidence,10,3/15/23,3/15/23,Direct,Engineering projects,Kayla Luu,The Boeing Company,0065c000019mWiq,0065c000019mWiqAAE,Investigation & Analysis,3/15/23 11:37,,,,No,,Manufacturing,Platform Operations,
2000000,Exelon,RFP - Exelon/PECO Support Services,Proposal Creation,Q4-2023,11/17/23,Event,New Business,Callyn Birchmeier,,,"Chicago, IL",10/20/23,2/1/25,10/23/23,,30,10/3/23,,RFP driven,Engineering projects,callyn birchmeier,,0065c00001Ngp8W,0065c00001Ngp8WAAR,Proposal Creation,10/2/23 17:00,,,,No,,Manufacturing,Platform Operations,
200000,CEVA FRANCE SASU,Co-engineering systems consolidation and Blue Yonder application,Investigation & Analysis,Q1-2024,1/12/24,Client Referral,New Business,kristie shirkavand,,,"SoCal, CA",1/22/24,10/31/24,9/25/23,Low confidence,10,9/25/23,,Direct,Engineering projects,Kristie Shirkavand,CEVA FRANCE SASU,0065c00001Nf1Ns,0065c00001Nf1NsAAJ,,9/24/23 17:00,,,,Yes,,Manufacturing,Experience Engineering,
,JSX,JSX - Data Analytics & Undermining - Aaron Armstrong,Inquiry,Q3-2023,8/15/23,,,annie urban,,,,,,5/2/23,,0,4/26/23,,,,,,0065c00001CacvF,0065c00001CacvFAAR,,4/26/23 8:23,,,,,,P&R,,1
1,"United Airlines, Inc.",Cloud Migration - Airline Operations,Inquiry,Q4-2023,10/31/23,Geo,New Business,Ajay Mathew,,,"Houston, TX",,,8/10/23,Low confidence,0,5/3/23,5/1/23,Proactive pitch,Engineering projects,Geetanjali Khatri,"United Airlines, Inc.",0065c00001Dv9dI,0065c00001Dv9dIAAR,Inquiry,5/3/23 17:20,,,,Yes,AWS,P&R,Enterprise Architecture,
1,"United Airlines, Inc.",Cloud Engineering - Infrastructure,Inquiry,Q4-2023,11/17/23,Other,New Business,Ajay Mathew,,,"Dallas, TX",10/2/23,3/31/24,9/28/23,Low confidence,0,5/11/23,5/10/23,Proactive pitch,Engineering projects,Geetanjali Khatri,"United Airlines, Inc.",0065c00001DwGvu,0065c00001DwGvuAAF,Inquiry,8/9/23 17:00,,,,Yes,AWS,P&R,Enterprise Architecture,
1,"United Airlines, Inc.",Enterprise DevSecOps Consulting,Inquiry,Q4-2023,12/31/23,Geo,New Business,Ajay Mathew,,,"Houston, TX",,,9/28/23,Low confidence,0,5/3/23,5/1/23,Proactive pitch,Engineering projects,Geetanjali Khatri,"United Airlines, Inc.",0065c00001DvA2k,0065c00001DvA2kAAF,Inquiry,5/3/23 17:22,,,,Yes,AWS,P&R,Enterprise Architecture,
1,"United Airlines, Inc.",TechOps Modernization - AWS Cloud Journey (Planning & Base Maintenance),Inquiry,Q4-2023,11/24/23,Industry,New Business,Ajay Mathew,Cloud Migration Platform/Product Modernization,,"Chicago, IL",3/6/23,9/15/23,6/30/23,Low confidence,0,9/1/22,9/1/22,Direct Procurement,Engineering projects,Riley Kipp,"United Airlines, Inc.",0065c000013Ez2b,0065c000013Ez2bAAC,,4/4/23 5:41,,,No,Yes,,P&R,Enterprise Architecture,
1250000,"FedEx Ground Package System, Inc.",Legacy Modernization - FedEx Ground Linehaul Systems,Qualification,Q1-2024,3/4/24,Geo,New Business,Ajay Mathew,Cloud Migration Platform/Product Modernization,40,"Nashville, TN",10/1/23,4/25/25,9/29/23,Low confidence,20,1/11/23,1/5/23,Proactive pitch,Engineering projects,Maleeka Catron,"FedEx Ground Package System, Inc.",0065c000016AQK1,0065c000016AQK1AAO,Qualification,9/12/23 17:00,,,No,Yes,Microsoft,P&R,Enterprise Architecture,
1,SITA,Baggage Transfer Innovation (Air + Cruise GTM Offering)),Inquiry,Q4-2023,10/27/23,Cold call,New Business,Michael Samson,,,"Atlanta, GA",,,5/4/23,,0,5/4/23,5/1/23,Proactive pitch,Engineering projects,Kathryn Gustafson,,0065c00001DvGUi,0065c00001DvGUiAAN,,5/4/23 6:38,,,,Yes,,P&R,Enterprise Architecture,
1,"Dicks Sporting Goods, Inc.",Cross-functional Domain Support,Inquiry,Q4-2023,11/3/23,Other,New Business,Powell Blue,,,Direct - No Region,,,10/11/23,Low confidence,0,8/11/23,8/11/23,Direct,Engineering projects,No Geo AM Involved,"Dicks Sporting Goods, Inc.",0065c00001MesqJ,0065c00001MesqJAAR,Inquiry,8/10/23 17:00,,,,Yes,,P&R,Enterprise Architecture,
1,"Dicks Sporting Goods, Inc.",ServiceNow Implementation for DSG,Inquiry,Q1-2024,1/26/24,Inside Sales,New Business,Powell Blue,,,Direct - No Region,,,7/6/23,,0,3/22/23,3/22/23,Direct,Engineering projects,No Geo AM Involved,"Dicks Sporting Goods, Inc.",0065c00001AMFgJ,0065c00001AMFgJAAX,Inquiry,3/22/23 13:48,,,,Yes,,P&R,Enterprise Architecture,
1,"Hawaiian Airlines, Inc.",Vendor Consolidation,Inquiry,Q1-2024,1/26/24,Client Referral,New Business,Ajay Mathew,,,Direct - No Region,,,7/20/23,,0,7/20/23,7/20/23,Direct,Engineering projects,No Geo AM Involved,"Hawaiian Airlines, Inc.",0065c00001M2TFI,0065c00001M2TFIAA3,Inquiry,7/19/23 17:00,,,,Yes,AWS,P&R,Enterprise Architecture,
750000,"Chewy, Inc.",Chewy- AVA ICE- Cloud Strategy,Proposal Presentation,Q4-2023,11/30/23,Cold call,New Business,alayna constantine,,38,"Tampa, FL",12/11/23,7/29/24,10/18/23,Low confidence,50,8/11/23,8/11/23,Direct,Engineering projects,Alayna Constantine,"Chewy, Inc.",0065c00001Mekou,0065c00001MekouAAB,Proposal Presentation,10/11/23 17:00,,,,Yes,,P&R,Enterprise Architecture,
1,Pearson Inc,AI Content Generation Tool - Pearson,Inquiry,Q4-2023,12/31/23,Cold call,New Business,Ward Sewell,,,"Raleigh, NC",1/1/24,8/1/24,10/4/23,Low confidence,0,8/28/23,8/28/23,Direct,Engineering projects,Ward Sewell,,0065c00001Mouwo,0065c00001MouwoAAB,Inquiry,8/27/23 17:00,,,,Yes,,P&R,Enterprise Architecture,
150000,LVMH,LVMH - Cognixia - Org DNA,Proposal Creation,Q3-2023,9/29/23,Employee Referral,New Business,Rachel Harrison,,,Direct - No Region,9/1/23,12/29/23,8/10/23,,30,6/21/23,6/15/23,Proactive pitch,Cognixia,Ian Lee,,0065c00001IYohR,0065c00001IYohRAAT,Proposal Creation,6/28/23 17:00,,,,Yes,,P&R,Enterprise Architecture,
1,"Sun Country, Inc.",Vulnerability Detection and Remediation,Inquiry,Q4-2023,11/30/23,Employee Referral,New Business,Mia Meyer,,,"Minneapolis, MN",1/1/24,6/1/24,10/5/23,Low confidence,0,10/5/23,,Direct,Engineering projects,Mia Meyer,,0065c00001NhGhp,0065c00001NhGhpAAF,,10/4/23 17:00,,,,Yes,,P&R,Enterprise Architecture,
360000,"Sunbelt Rental, Inc.",Cloud Migration - Snowflake & Databricks(CLT),Inquiry,Q4-2023,11/3/23,Other,New Business,conor flanagan,,,"Charlotte, NC",,,8/25/23,Low confidence,0,6/5/23,6/20/23,Direct,Engineering projects,Conor Flanagan,"Sunbelt Rental, Inc.",0065c00001H7S2g,0065c00001H7S2gAAF,Inquiry,6/4/23 17:00,,,,Yes,,P&R,Platform Engineering,
740000,Ulta Inc.,eCommerce Product PODS (1-2),Inquiry,Q1-2024,2/29/24,Cold call,New Business,Shalyn Greenhaw,,,"Chicago, IL",,,9/26/23,Low confidence,50,9/26/23,,Direct,Engineering projects,Shalyn Greenhaw,Ulta Inc.,0065c00001NfEqk,0065c00001NfEqkAAF,,9/25/23 17:00,,,,Yes,,P&R,Platform Engineering,
1350000,"United Airlines, Inc.",Discovery BSO - Bag Management (Phase 2),Proposal Presentation,Q4-2023,11/24/23,Other,New Business,riley kipp,,33,"Chicago, IL",1/1/24,6/30/24,10/18/23,High quality,50,8/18/23,8/18/23,Direct,Engineering projects,Riley Kipp,"United Airlines, Inc.",0065c00001MhV7N,0065c00001MhV7NAAV,Proposal Presentation,10/10/23 17:00,,,,Yes,,P&R,Platform Engineering,
963000,"United Airlines, Inc.",Security Vulnerability Remediation,Proposal Presentation,Q4-2023,12/4/23,Other,New Business,riley kipp,,25,"Chicago, IL",12/4/23,5/3/24,10/18/23,High quality,50,7/28/23,7/27/23,RFP driven,Engineering projects,Riley Kipp,"United Airlines, Inc.",0065c00001JDeeO,0065c00001JDeeOAAT,Proposal Presentation,10/3/23 17:00,,,,Yes,,P&R,Platform Engineering,
1,"United Airlines, Inc.",Flight Planning Application Integration,Inquiry,Q4-2023,11/4/23,Client Referral,New Business,Ajay Mathew,,,"Chicago, IL",,,6/30/23,,0,5/5/23,5/5/23,Proactive pitch,Engineering projects,Riley Kipp,"United Airlines, Inc.",0065c00001DvUpu,0065c00001DvUpuAAF,Inquiry,5/5/23 11:40,,,,Yes,,P&R,Platform Engineering,
1,"United Airlines, Inc.",TechOps MRO Migration,Inquiry,Q4-2023,11/24/23,Geo,New Business,Ajay Mathew,Cloud Migration Platform/Product Modernization,,"Chicago, IL",,,6/30/23,,0,2/1/23,2/1/23,Proactive pitch,Engineering projects,Riley Kipp,"United Airlines, Inc.",0065c000016e6lG,0065c000016e6lGAAQ,,,,,No,Yes,,P&R,Platform Engineering,
1,KPMG Consulting,KPMG KART (Aggregating & Reporting Tool) Rewrite,Investigation & Analysis,Q4-2023,11/30/23,Other,New Business,Richard Phipps,,,"Dallas, TX",12/1/23,9/30/24,9/20/23,Low confidence,10,5/21/23,5/21/23,RFP driven,Engineering projects,Elizabeth Kolar,KPMG Consulting,0065c00001DxRu8,0065c00001DxRu8AAF,Inquiry,9/19/23 17:00,,,,Yes,,P&R,Platform Engineering,
1,"United Airlines, Inc.",PSS Modernization (SHARES to AWS/.Net),Inquiry,Q4-2023,11/6/23,Geo,New Business,Ajay Mathew,Product/Platform Modernization,,"Dallas, TX",,,6/30/23,,0,2/8/23,2/8/23,,Engineering projects,Annie Urban,"United Airlines, Inc.",0065c000017UEcF,0065c000017UEcFAAW,,,,,,,,P&R,Platform Engineering,
1,"United Airlines, Inc.",Customer Travel Platforms-email intake automation,Inquiry,Q4-2023,11/30/23,Cold call,New Business,Ajay Mathew,,,"Dallas, TX",,,9/6/23,Low confidence,0,9/6/23,9/6/23,Proactive pitch,Engineering projects,Annie Urban,"United Airlines, Inc.",0065c00001NG62j,0065c00001NG62jAAD,,9/5/23 17:00,,,,Yes,,P&R,Platform Engineering,
1,"United Airlines, Inc.",PSS delivery- ANSI-C modernization,Inquiry,Q4-2023,12/8/23,Cold call,New Business,Ajay Mathew,,,"Dallas, TX",,,9/6/23,Low confidence,0,9/6/23,9/6/23,Proactive pitch,Engineering projects,Annie Urban,"United Airlines, Inc.",0065c00001NG64G,0065c00001NG64GAAT,,9/5/23 17:00,,,,Yes,AWS,P&R,Platform Engineering,
100000,"United Airlines, Inc.",Ancillaries-Engineering Excellence,Inquiry,Q4-2023,12/31/23,Cold call,New Business,Ajay Mathew,,,"Dallas, TX",,,10/11/23,Low confidence,10,10/11/23,,Proactive pitch,Engineering projects,Annie Urban,"United Airlines, Inc.",0065c00001NiUEr,0065c00001NiUErAAN,,10/10/23 17:00,,,,Yes,,P&R,Platform Engineering,
1,"United Airlines, Inc.",NDC Platform Build,Inquiry,Q4-2023,12/31/23,Cold call,New Business,Ajay Mathew,,,"Dallas, TX",,,9/11/23,Low confidence,0,9/11/23,9/11/23,Direct,Engineering projects,Annie Urban,"United Airlines, Inc.",0065c00001NGz0m,0065c00001NGz0mAAD,,9/10/23 17:00,,,,Yes,,P&R,Platform Engineering,
250000,Alaska Airlines,Alaska Airlines Communications RFI,Proposal Creation,Q4-2023,12/31/23,Client Referral,New Business,brett oxenhandler,,,"Seattle, WA",1/2/24,8/30/24,10/13/23,,30,10/13/23,,RFI,Engineering projects,Malak Qibaa,Alaska Airlines,0065c00001Niq5G,0065c00001Niq5GAAR,Proposal Creation,10/12/23 17:00,,,,No,,P&R,Platform Engineering,
1,Greyhound Lines Inc.,Greyhound - Managed Capacity - Development POD,Inquiry,Q4-2023,12/18/23,Cold call,New Business,elizabeth dombrowski,,,"Dallas, TX",12/18/23,12/18/24,9/5/23,Low confidence,10,5/25/23,5/25/23,Direct,Engineering projects,Elizabeth Dombrowski,,0065c00001G35AN,0065c00001G35ANAAZ,Inquiry,5/24/23 17:00,,,,Yes,,P&R,Platform Engineering,
1500000,Starbucks Corporation,MarTech Modernization (CMS & DAM),Proposal Creation,Q4-2023,11/3/23,Client Referral,New Business,Michael Samson,,35,"Seattle, WA",11/20/23,10/31/24,10/18/23,High quality,30,10/18/23,,Proactive pitch,Engineering projects,Galina Romanova,Starbucks Corporation,0065c00001O4sje,0065c00001O4sjeAAB,,10/17/23 17:00,,,,Yes,,P&R,Platform Engineering,
500000,Starbucks Corporation,Android Dev (Store Device Support),Inquiry,Q4-2023,10/16/23,Client Referral,New Business,galina romanova,,,"Seattle, WA",,,8/21/23,Low confidence,0,8/21/23,8/21/23,Direct,Engineering projects,Galina Romanova,Starbucks Corporation,0065c00001MmhCc,0065c00001MmhCcAAJ,,8/20/23 17:00,,,,Yes,,P&R,Platform Engineering,
139200,Starbucks Corporation,Inventory Planning Development - Yvonne Yeung,Negotiation/Review,Q4-2023,11/6/23,Client Referral,New Business,galina romanova,,33,"Seattle, WA",11/6/23,3/31/24,10/18/23,Commit,80,10/2/23,,Direct,Engineering projects,Galina Romanova,Starbucks Corporation,0065c00001NgeOu,0065c00001NgeOuAAJ,Inquiry,10/17/23 17:00,,,,Yes,,P&R,Platform Engineering,
839000,Starbucks Corporation,API Development - Starbucks,Negotiation/Review,Q4-2023,11/27/23,Client Referral,New Business,galina romanova,,32,"Seattle, WA",11/6/23,9/27/24,10/18/23,Commit,80,8/8/23,8/8/23,Direct,Engineering projects,Galina Romanova,Starbucks Corporation,0065c00001JG122,0065c00001JG122AAD,Negotiation/Review,10/17/23 17:00,,,,Yes,,P&R,Platform Engineering,
1,"Baker Tilly US, LLP",Microsoft Tax Platform Transformation - Initial POV,Inquiry,Q4-2023,12/29/23,Industry,New Business,Richard Phipps,,50,Direct - No Region,,,9/27/23,Low confidence,0,3/7/23,3/7/23,Proactive pitch,Engineering projects,Richard Phipps,,0065c000019iwXV,0065c000019iwXVAAY,Inquiry,3/7/23 12:35,,,,Yes,Microsoft,P&R,Platform Engineering,
400000,"Dicks Sporting Goods, Inc.",RPA Roles,Proposal Presentation,Q4-2023,10/23/23,Other,New Business,Powell Blue,,30,Direct - No Region,10/23/23,10/18/24,10/11/23,Low confidence,50,8/8/23,8/8/23,Direct,Engineering projects,No Geo AM Involved,"Dicks Sporting Goods, Inc.",0065c00001JFmHJ,0065c00001JFmHJAA1,Proposal Presentation,8/22/23 17:00,,,,No,,P&R,Platform Engineering,
60000,"Dicks Sporting Goods, Inc.",Product Analyst - Sharepoint Migration,Proposal Presentation,Q4-2023,10/23/23,Other,New Business,Powell Blue,,38,Direct - No Region,10/23/23,1/31/24,10/18/23,Commit,50,8/18/23,8/14/23,Direct,Engineering projects,No Geo AM Involved,"Dicks Sporting Goods, Inc.",0065c00001MhN2u,0065c00001MhN2uAAF,Proposal Presentation,10/15/23 17:00,,,,No,,P&R,Platform Engineering,
90000000,"Dicks Sporting Goods, Inc.",Product Support (Challenger) - MSOW,Negotiation/Review,Q4-2023,10/24/23,Other,New Business,Powell Blue,,30,Direct - No Region,10/20/23,1/31/29,10/18/23,Commit,80,3/22/23,3/22/23,Proactive pitch,Engineering projects,No Geo AM Involved,"Dicks Sporting Goods, Inc.",0065c00001AMFMs,0065c00001AMFMsAAP,Negotiation/Review,5/10/23 14:05,,,,Yes,Microsoft,P&R,Platform Engineering,
